"link" "descr"
"1" "https://www.pracuj.pl/praca/data-scientist-warszawa,oferta,1000434342" "what we offer
Multidirectional development
Certifications
International projects
Free English lessons
Private medical care
Co-financing of sport card
your tasks
Collaborate with other Data Sciencists as part of a rule-based system simulation and search for events that are analyzed by the Alert Investigator Team
Providing information to establish thresholds that help to minimize the number of statistical errors
Creating and testing scenarios that support understanding how data changes in the system affect its efficiency and performance
Proposing additional rules to support the growth of productive alerts
Interpretation and analysis of statistical problems, as well as ensuring consistent and qualitatively correct data
Adapting to the prevailing standards for documentation using the version control and code repositories systems (Git, GitHub, Markdown)
Using data visualization tools to better present data for stakeholders
what we expect
Ability to have in dept discussions with data scientists and also able to explain understandably to a broader public,
Strong knowledge of relational databases and optimizing query performance,
Strong knowledge of Apache Hadoop and Spark,
Strong knowledge of anomaly detection algorithms (DBSCAN),
Experienced Python programmer and very familiar with modules pandas, sklearn, pyspark, numpy,
Experience with writing SQL statements,
Experience in working with Linux systems and command line interface,
Able to develop, implement and continuously improve data pipelines,
Experience with statistical inference,
Have experience in working in a multi-national, complex organisations in a matrixed environment with a senior management / Program management view,
Fluent in English speaking and in writing."
"2" "https://www.pracuj.pl/praca/data-scientist-warszawa,oferta,1000431808" "Get to know the task we have for you:
data and market researches regarding strategic KPIs related to Customer Behavior
cooperation with Customer Experience and Marketing Departments on strategy regarding offered products and marketing/CX campaigns cooperation with international structures on KPIs measures consistency and knowledge sharing
reporting to senior management on delivered results and key levers of actions
You are perfect for us, if:
You have 3 years of experience with working with advanced statistical methods on Customer Behaviors
topics like linear/ non-linear regression, Bayesian Networks, and more are your strengths
You had degree on quantitative psychology, economy or Data Science
preferably you use Python in your daily work (it is OK, to tell us, that you need other tools)
You are open-minded, communicative and easy going
You are comfortable with using English in your daily work
You are willing to take on new task and focus on solving problems
You can cooperate and build positive relations
You can work under pressure, you are focused on achieving the goal and take responsibility for its implementation
Benefits
Two bonuses a year
Food card powered monthly
Two extra days off
Extra cash for Christmas for employee and gifts for children
Co-finance for you and your child holidays
Moreover we have for you:
multisport card, medical care, sports sections, employee competitions"
"3" "https://www.pracuj.pl/praca/data-scientist-crm-loyalty-krakow,oferta,1000463192" "Why Work for Shell?
Honest, integrity and respect; \"feel free to speak your mind\" culture; health and safety rules; diversity & Inclusion culture
 An energy leader
Meaningful work in a company that is universally respected as a truly global energy leader {one of the world's biggest employers according to Fortune Global 500}. Join us and have a real impact on the operations of one of the world's largest companies.

Vibrant community
Become a part of a highly-driven team and get to know Shell's unique culture based on inclusiveness and collaboration.

Opportunies for growth
Spread your wings thanks to innumerable opportunities that Shell Business Operations Krakow offers its emloyees.

Impactful collaboration
Be an important participant of an international project.
 Thanks to cooperation with Shell you gain:
Comfortable working environment: newly-built modern office with its own canteen, relax rooms, bike & car pakingspace
Improved accessibility of office and sanitary facilities
Energetic atmosphere at work
Attractive salary pckage
Shell Card
Additional funds for trainings and certifications (ACCA, CIMA, CIPS, Lean Six Sigma)
Complex medical care and individual life insurance
Assistive technologies and reasonable adjustments for people with disabilities
Non-monetary benefits (e.g. MultiSport Card, vouchers for cultural and free time activities, 12 sports sections, and many more)
Attractive relocation allowance available once relocating from another country
 Job Description
General Position Definition:
This role will drive analytics and insights for the Global CRM & Loyalty teams
The ideal candidate is passionate about customer analytics - specifically CRM and Loyalty
The candidate will have strong quantitative skills (like statistics, mathematics, machine learning) and has applied those skills in solving real world problems in marketing
Incumbent is responsible for working on a range of technologies and tools collaborating directly with the marketing stakeholders & other partners
Purpose:
Leverage analytics, data and deep customer insights to identify and execute innovative programs that continually push CRM initiatives to the next level
Build and maintain a test and learn roadmap (A/B Testing) and work to continually iterate and optimize CRM efforts in order to increase the effectiveness of all channels
Measure impact of customer engagement initiatives across all channels (email, SMS, push notifications, direct mail, etc.) and optimize campaign spends
Support development of the contact strategy with ad-hoc analysis and projects.
